,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
6417,2510,17,34402-C,3室1卫,6/29层,朝阳区,平房村,金隅汇景苑,"地铁：距14号线东段,平谷线东风北桥站4500米"
6418,2730,19,38003-B,3室1卫,6/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米
6419,2460,14,26913-A,3室1卫,4/17层,丰台区,新宫,新宫家园北区,"地铁：距4号线大兴线,19号线新宫站300米"
6420,2700,15,55169-C,3室1卫,5/6层,朝阳区,管庄,东会新村,地铁：距八通线管庄站150米
6421,2460,11,5461-E,5室1卫,3/12层,昌平区,天通苑南,天通苑西一区,地铁：距5号线天通苑南站150米
6424,3320,10,5779-A,3室1卫,23/28层,朝阳区,望京西,湖光壹号,"地铁：距13号线,15号线望京西站550米"
6425,2350,12,65320-C,3室1卫,6/8层,朝阳区,孙河,康营小区5区,地铁：距15号线孙河站950米
6426,1980,15,70907-A,3室1卫,4/6层,通州区,梨园,北杨洼小区,地铁：距八通线梨园站550米
6427,1920,8,7255-B,4室1卫,5/15层,顺义区,花梨坎,满庭芳嘉园,地铁：距15号线花梨坎站850米
6428,2140,11,7521-B,3室1卫,4/28层,朝阳区,管庄,管庄新村,地铁：距八通线管庄站600米
6429,2980,17,8822-B,4室1卫,13/18层,朝阳区,双桥,金隅康惠园,地铁：距八通线双桥站600米
6432,1900,10,143724-A,3室1卫,4/6层,通州区,通州北关,天桥湾,地铁：距6号线通运门站1000米
6433,2450,9,12797-A,4室1卫,1/32层,昌平区,天通苑,天通苑西三区,地铁：距5号线天通苑站350米
6434,1830,7,148726-C,3室1卫,1/6层,朝阳区,双桥,东柳西里,地铁：距八通线双桥站900米
6436,3620,67,151682-A,1室1卫,3/6层,通州区,通州北关,至善家园,地铁：距6号线通州北关站1700米
6438,2460,12,2409-C,3室1卫,17/18层,朝阳区,星火,姚家园东里7号院,"地铁：距3号线,20号线星火站800米"
6439,2270,17,25753-C,3室1卫,15/16层,昌平区,沙河,兆丰家园,地铁：距昌平线沙河站600米
6440,2400,12,2589-B,3室1卫,12/28层,通州区,物资学院路,新建村小区,地铁：距6号线物资学院路站550米
6441,1380,6,33675-A,3室1卫,8/21层,丰台区,张郭庄,红山郡,地铁：距14号线西段张郭庄站1750米
6442,3280,11,374-D,4室2卫,5/16层,朝阳区,望京西,北京香颂,"地铁：距13号线,15号线望京西站550米"
6444,2790,12,57705-C,3室1卫,7/22层,朝阳区,成寿寺,方庄南路18号院,地铁：距10号线成寿寺站700米
6445,1830,9,66745-B,3室1卫,11/26层,通州区,梨园,新城嘉园（通州）,地铁：距八通线梨园站550米
6446,2970,10,6781-A,3室1卫,24/28层,朝阳区,四惠东,通惠家园惠民园,"地铁：距1号线,八通线四惠东站350米"
6447,2800,11,6781-C,3室1卫,24/28层,朝阳区,四惠东,通惠家园惠民园,"地铁：距1号线,八通线四惠东站350米"
6448,2200,14,73709-B,3室1卫,20/25层,通州区,梨园,云景豪庭,地铁：距八通线梨园站600米
6449,2680,12,77080-C,3室1卫,14/18层,石景山区,西黄村,雍景四季,"地铁：距1号线,6号线苹果园站2350米"
6450,2960,10,7742-B,3室1卫,7/16层,海淀区,六道口,城华园,地铁：距15号线六道口站1200米
6451,1790,12,115964-A,4室1卫,3/6层,大兴区,高米店南,可可家园,地铁：距4号线大兴线高米店南站1650米
6452,3280,15,120588-A,3室2卫,22/25层,朝阳区,成寿寺,成寿寺路25号院,地铁：距10号线成寿寺站650米
